n_estimators,learning_rate,max_depth,mape1,mape2,mape3,mape4,mean,MAPE
50,0.050000,3,10.844345,10.982285,11.030897,10.844345,10.925468,11.177830
100,0.050000,3,8.975902,9.106609,9.112870,8.975902,9.042821,9.566671
150,0.050000,3,8.880243,8.999605,9.010891,8.880243,8.942746,9.433212
200,0.050000,3,8.802485,8.922936,8.939227,8.802485,8.866783,9.320858
250,0.050000,3,8.744077,8.875841,8.887183,8.744077,8.812794,9.246187
300,0.050000,3,8.700575,8.825377,8.844668,8.700575,8.767799,9.195008
350,0.050000,3,8.669473,8.788828,8.804442,8.669473,8.733054,9.160006
400,0.050000,3,8.641288,8.752218,8.757934,8.641288,8.698182,9.127677
450,0.050000,3,8.617851,8.732631,8.713864,8.617851,8.670549,9.103933
500,0.050000,3,8.583985,8.707279,8.685038,8.583985,8.640072,9.083044
50,0.050000,4,10.844345,10.982285,11.030897,10.844345,10.925468,11.177830
100,0.050000,4,8.975902,9.106609,9.112870,8.975902,9.042821,9.566671
150,0.050000,4,8.880243,8.999605,9.010891,8.880243,8.942746,9.433212
200,0.050000,4,8.802485,8.922936,8.939227,8.802485,8.866783,9.320858
250,0.050000,4,8.744077,8.875841,8.887183,8.744077,8.812794,9.246187
300,0.050000,4,8.700575,8.825377,8.844668,8.700575,8.767799,9.195008
350,0.050000,4,8.669473,8.788828,8.804442,8.669473,8.733054,9.160006
400,0.050000,4,8.641288,8.752218,8.757934,8.641288,8.698182,9.127677
450,0.050000,4,8.617851,8.732631,8.713864,8.617851,8.670549,9.103933
500,0.050000,4,8.583985,8.707279,8.685038,8.583985,8.640072,9.083044
50,0.050000,5,10.844345,10.982285,11.030897,10.844345,10.925468,11.177830
100,0.050000,5,8.975902,9.106609,9.112870,8.975902,9.042821,9.566671
150,0.050000,5,8.880243,8.999605,9.010891,8.880243,8.942746,9.433212
200,0.050000,5,8.802485,8.922936,8.939227,8.802485,8.866783,9.320858
250,0.050000,5,8.744077,8.875841,8.887183,8.744077,8.812794,9.246187
300,0.050000,5,8.700575,8.825377,8.844668,8.700575,8.767799,9.195008
350,0.050000,5,8.669473,8.788828,8.804442,8.669473,8.733054,9.160006
400,0.050000,5,8.641288,8.752218,8.757934,8.641288,8.698182,9.127677
450,0.050000,5,8.617851,8.732631,8.713864,8.617851,8.670549,9.103933
500,0.050000,5,8.583985,8.707279,8.685038,8.583985,8.640072,9.083044
50,0.100000,3,9.021343,9.147067,9.144595,9.021343,9.083587,9.598503
100,0.100000,3,8.832394,8.959781,8.958735,8.832394,8.895826,9.336697
